Product,Price,Quantity,Rating,Predicted_Demand,Suggested_Stock,Category,Demand,Stock_Suggestion,Revenue_Potential
umbrella,-2.0,800,2.1,1,50.0,,Medium,840.0,-1680.0
umbrella,7.0,80,4.0,2,50.0,,High,180.0,1260.0
umbrella,90.0,477,3.7,0,50.0,,Medium,517.0,46530.0
umbrella,700.0,70,3.8,0,50.0,,Medium,110.0,77000.0
umbrella,700.0,88,3.0,0,50.0,,Medium,128.0,89600.0
umbrella,700.0,88,3.0,0,50.0,,Medium,128.0,89600.0
chocolate,700.0,88,3.0,0,50.0,,Medium,128.0,89600.0
chocolate,45.0,66,2.1,Low,50.0,,Low,71.0,3195.0
chocolate,600.0,66,4.6,Low,50.0,,High,166.0,99600.0
deshmi,100.0,2,3.0,Low,50.0,,Medium,42.0,4200.0
deshmi,100.0,56,3.2,Low,50.0,,Medium,96.0,9600.0
deshmi,100.0,56,3.2,Low,50.0,,Medium,96.0,9600.0
pizza,520.0,2,5.0,,,Perishables,High,102.0,53040.0
cookies,200.0,200,4.0,,,General,Medium,240.0,48000.0
shoes,3000.0,2,5.0,,,General,High,102.0,306000.0
cookies,500.0,50000,4.0,,,General,Medium,50040.0,25020000.0
cookies,522.0,20,5.0,,,General,High,120.0,62640.0
cookies,200.0,2000,4.0,,,General,Medium,2040.0,408000.0
socks,20.0,6000,4.0,,,General,Medium,6040.0,120800.0
cookies,210.0,10,5.0,,,General,High,110.0,23100.0
shoes,5000.0,2,5.0,,,General,High,102.0,510000.0
cookies,500.0,20,4.0,,,General,Medium,60.0,30000.0
pasta,250.0,21,4.0,,,General,Medium,61.0,15250.0
orange,300.0,20,4.0,,,General,Medium,60.0,18000.0
mango,1500.0,500,4.0,,,General,Medium,540.0,810000.0
shoes,5000.0,6,4.0,,,General,Medium,46.0,230000.0
mango,500.0,20,5.0,,,General,High,120.0,60000.0
pasta,250.0,200,5.0,,,General,High,300.0,75000.0
pizza,250.0,500,5.0,,,Perishables,High,600.0,150000.0
mango,20.0,5000,5.0,,,General,High,5100.0,102000.0
pistachio,1000.0,20,5.0,,,General,High,120.0,120000.0
pistachio,2500.0,500,5.0,,,General,High,600.0,1500000.0
mango,520.0,20,5.0,,,General,High,120.0,62400.0
pizza,2000.0,50,5.0,,,Perishables,High,150.0,300000.0
pizza,2000.0,50,5.0,,,Perishables,High,150.0,300000.0
mango,200.0,5,4.0,,,General,Medium,45.0,9000.0
pizza,820.0,50,5.0,,,Perishables,High,150.0,123000.0
pizza,550.0,20,4.0,,,Perishables,Medium,60.0,33000.0
socks,20.0,1000,5.0,,,General,High,1100.0,22000.0
pizza,200.0,150,3.0,,,Perishables,Medium,190.0,38000.0
cookies,50.0,600,5.0,,,General,High,700.0,35000.0
pizza,50.0,100,3.0,,,Perishables,Medium,140.0,7000.0
peach,2000.0,50,4.0,,,General,Medium,90.0,180000.0
